"lemma"	"TxB_prog_count"	"TxBSpoken_non_prog"
"1"	"accept"	0	11
"2"	"ache"	0	1
"3"	"act"	2	18
"5"	"add"	1	26
"6"	"advise"	1	6
"7"	"agree"	0	122
"8"	"aim"	0	5
"9"	"allow"	0	80
"10"	"announce"	0	2
"11"	"annoy"	0	6
"12"	"answer"	3	48
"13"	"apply"	0	10
"14"	"appoint"	1	0
"15"	"approach"	2	4
"16"	"argue"	1	17
"17"	"arrange"	0	7
"18"	"arrive"	3	127
"19"	"ask"	15	327
"21"	"assume"	0	4
"22"	"attack"	0	20
"23"	"attract"	1	4
"24"	"babysit"	0	2
"25"	"bake"	1	5
"27"	"bang"	0	2
"29"	"bark"	2	7
"30"	"base"	0	2
"33"	"be"	16	19876
"34"	"beat"	0	5
"35"	"become"	4	133
"37"	"begin"	4	41
"38"	"behave"	3	8
"39"	"believe"	0	169
"40"	"bet"	0	22
"41"	"blame"	0	7
"42"	"blink"	0	1
"43"	"block"	1	1
"45"	"blow"	1	9
"46"	"board"	2	5
"47"	"boil"	0	2
"48"	"bomb"	0	1
"49"	"book"	0	26
"50"	"bore"	0	9
"51"	"borrow"	1	27
"52"	"bother"	2	12
"54"	"bow"	1	2
"56"	"break"	2	95
"57"	"breathe"	0	1
"58"	"bring"	4	94
"59"	"browse"	0	2
"60"	"build"	4	75
"62"	"burn"	1	7
"63"	"burst"	1	3
"64"	"buy"	12	228
"65"	"call"	13	221
"66"	"camp"	1	0
"67"	"carry"	3	26
"69"	"catch"	1	43
"70"	"cause"	3	21
"71"	"celebrate"	5	19
"72"	"change"	8	95
"73"	"charge"	0	1
"74"	"chase"	3	4
"75"	"chat"	4	22
"76"	"cheat"	0	3
"77"	"check"	2	78
"78"	"cheer"	4	10
"79"	"chew"	1	9
"82"	"choose"	2	90
"83"	"chop"	0	1
"84"	"clap"	3	1
"86"	"clean"	2	25
"87"	"clear"	2	4
"88"	"climb"	1	20
"89"	"close"	2	30
"91"	"collect"	4	28
"92"	"come"	62	882
"93"	"comment"	0	1
"94"	"commit"	1	6
"95"	"communicate"	1	1
"96"	"compete"	0	5
"97"	"complain"	2	10
"98"	"compose"	0	2
"99"	"concentrate"	2	7
"101"	"consider"	0	18
"102"	"consume"	1	3
"103"	"continue"	2	26
"105"	"control"	0	10
"106"	"cook"	5	25
"107"	"cope"	0	4
"108"	"copy"	1	10
"109"	"cost"	0	48
"111"	"cough"	0	1
"112"	"count"	0	13
"114"	"create"	1	43
"116"	"criticise"	2	3
"117"	"cross"	4	22
"120"	"cry"	2	16
"121"	"cut"	0	23
"122"	"cycle"	2	8
"123"	"dance"	8	31
"124"	"date"	0	3
"125"	"deal"	0	7
"126"	"decide"	0	105
"127"	"decline"	0	3
"128"	"decorate"	1	4
"129"	"delete"	1	4
"130"	"deliver"	0	3
"131"	"describe"	0	22
"132"	"desert"	1	0
"133"	"design"	0	11
"134"	"develop"	2	12
"135"	"die"	6	61
"136"	"dig"	0	1
"138"	"disappear"	3	19
"139"	"discover"	2	34
"140"	"discuss"	4	17
"141"	"disobey"	1	0
"144"	"diversify"	1	0
"145"	"do"	206	1527
"147"	"download"	1	10
"148"	"draw"	2	29
"149"	"dread"	1	0
"150"	"dream"	3	12
"151"	"dress"	2	10
"152"	"drink"	5	41
"154"	"drive"	5	46
"155"	"drown"	2	2
"156"	"dry"	0	3
"157"	"dust"	1	4
"158"	"earn"	0	31
"159"	"eat"	19	197
"160"	"email"	0	6
"161"	"emerge"	2	0
"162"	"encourage"	1	6
"163"	"end"	0	30
"164"	"enjoy"	17	165
"165"	"evolve"	1	1
"166"	"exaggerate"	3	0
"167"	"exclude"	1	0
"168"	"expand"	0	1
"169"	"expect"	3	47
"170"	"experiment"	1	0
"171"	"explain"	0	37
"172"	"explode"	1	0
"173"	"exploit"	0	1
"174"	"express"	1	4
"175"	"extend"	0	1
"176"	"face"	2	11
"178"	"fail"	0	8
"179"	"fall"	5	77
"180"	"feed"	2	26
"181"	"feel"	34	258
"182"	"fight"	6	26
"183"	"fill"	1	9
"184"	"film"	3	5
"185"	"find"	2	416
"187"	"finish"	0	77
"188"	"fire"	0	1
"190"	"flee"	0	3
"192"	"flirt"	1	1
"194"	"fly"	8	23
"195"	"focus"	0	16
"196"	"fold"	0	1
"197"	"follow"	5	44
"198"	"fool"	1	2
"199"	"forget"	2	150
"201"	"freak"	0	1
"203"	"freeze"	0	2
"204"	"frown"	1	0
"207"	"fume"	0	1
"209"	"fundraise"	1	0
"210"	"gain"	1	4
"211"	"garden"	1	1
"212"	"gasp"	0	1
"214"	"get"	49	1836
"215"	"give"	6	373
"217"	"go"	205	2263
"218"	"grab"	0	8
"219"	"greet"	1	1
"220"	"grill"	2	0
"221"	"grin"	1	2
"223"	"grow"	2	59
"224"	"guarantee"	0	2
"225"	"guess"	1	138
"229"	"hand"	2	13
"230"	"handcuff"	1	0
"231"	"hang"	6	35
"232"	"happen"	23	197
"233"	"harass"	1	1
"236"	"have"	59	2675
"237"	"head"	2	5
"238"	"hear"	3	253
"239"	"heat"	0	1
"240"	"help"	10	410
"242"	"hide"	3	17
"243"	"hike"	2	5
"244"	"hit"	1	33
"246"	"hold"	8	46
"247"	"hop"	1	1
"248"	"hope"	13	155
"249"	"host"	0	1
"251"	"hunt"	1	1
"252"	"hurt"	5	62
"253"	"impoverish"	1	0
"254"	"include"	0	17
"255"	"indicate"	0	1
"256"	"inspect"	0	1
"257"	"inspire"	2	11
"259"	"interact"	0	3
"260"	"interrogate"	0	2
"261"	"interview"	2	8
"262"	"invite"	1	39
"264"	"jog"	2	1
"265"	"join"	3	71
"266"	"joke"	11	5
"267"	"judge"	0	12
"268"	"juggle"	2	0
"269"	"jump"	2	25
"270"	"keep"	2	117
"271"	"kick"	0	3
"272"	"kid"	13	3
"273"	"kill"	1	37
"274"	"kneel"	1	1
"275"	"knock"	0	9
"276"	"land"	1	10
"277"	"laugh"	4	49
"278"	"lay"	0	1
"280"	"lead"	1	21
"281"	"lean"	0	1
"282"	"learn"	14	138
"283"	"leave"	15	257
"284"	"let"	3	775
"285"	"level"	1	0
"286"	"lie"	12	21
"287"	"lift"	3	5
"288"	"light"	1	11
"289"	"link"	0	9
"290"	"listen"	28	221
"291"	"live"	22	387
"292"	"look"	117	921
"293"	"loop"	1	0
"294"	"lose"	2	103
"295"	"love"	0	544
"296"	"make"	29	577
"297"	"manage"	0	31
"298"	"march"	1	1
"299"	"mark"	0	7
"301"	"mean"	1	253
"302"	"meet"	13	224
"304"	"mention"	0	22
"305"	"mess"	0	3
"307"	"milk"	0	3
"308"	"miss"	7	81
"309"	"mix"	1	8
"314"	"move"	15	102
"315"	"munch"	0	1
"317"	"notice"	0	41
"318"	"nourish"	1	0
"319"	"observe"	0	4
"320"	"occur"	0	6
"321"	"offer"	3	24
"322"	"operate"	1	0
"323"	"organise"	1	7
"324"	"overchange"	1	0
"327"	"overreact"	1	0
"329"	"pack"	2	17
"330"	"paint"	2	19
"331"	"panic"	0	7
"332"	"park"	0	5
"333"	"participate"	2	11
"334"	"party"	1	0
"335"	"pass"	5	55
"336"	"pay"	5	75
"337"	"pedal"	1	2
"338"	"perform"	3	17
"340"	"phone"	2	50
"341"	"pick"	4	46
"343"	"pinch"	2	0
"344"	"piss"	0	1
"345"	"pitch"	0	1
"346"	"place"	1	6
"347"	"plan"	17	26
"348"	"plant"	0	5
"349"	"play"	56	353
"350"	"point"	0	11
"351"	"pollute"	1	2
"352"	"pop"	2	2
"353"	"pose"	1	2
"354"	"post"	2	16
"355"	"pour"	1	6
"356"	"practice"	3	9
"357"	"practise"	3	35
"358"	"pray"	0	1
"359"	"prepare"	8	9
"360"	"present"	0	9
"361"	"press"	0	8
"362"	"pretend"	1	5
"364"	"print"	1	3
"366"	"produce"	0	18
"367"	"promote"	0	4
"368"	"protest"	1	3
"369"	"pull"	3	30
"370"	"pump"	1	4
"372"	"purse"	1	0
"373"	"push"	3	31
"374"	"put"	8	232
"375"	"question"	0	1
"378"	"rain"	12	9
"381"	"react"	1	4
"382"	"read"	18	127
"383"	"realise"	1	30
"384"	"receive"	2	30
"385"	"record"	1	11
"386"	"recover"	2	1
"387"	"recycle"	0	13
"388"	"refer"	1	3
"389"	"reflect"	0	11
"390"	"refuse"	1	17
"391"	"rehearse"	1	1
"392"	"relax"	1	16
"393"	"release"	0	4
"394"	"rely"	0	3
"395"	"remember"	1	206
"396"	"renovate"	1	3
"397"	"rent"	0	5
"398"	"reopen"	0	1
"399"	"repair"	1	7
"400"	"repeat"	1	22
"401"	"reply"	0	4
"402"	"report"	4	6
"403"	"research"	0	1
"404"	"retire"	0	4
"405"	"return"	2	19
"408"	"revise"	4	9
"410"	"ride"	1	33
"411"	"ring"	3	14
"412"	"rip"	0	1
"413"	"rise"	0	4
"416"	"rob"	1	2
"417"	"roll"	1	6
"419"	"ruin"	3	7
"420"	"run"	22	118
"422"	"save"	1	48
"424"	"say"	29	788
"426"	"scan"	1	0
"427"	"search"	2	2
"428"	"see"	8	1350
"429"	"seek"	1	1
"430"	"sell"	3	55
"431"	"send"	4	93
"432"	"serve"	0	12
"433"	"set"	1	38
"434"	"settle"	0	12
"435"	"shake"	1	5
"436"	"share"	1	33
"437"	"shine"	2	8
"438"	"shoot"	0	13
"439"	"shop"	2	5
"440"	"shout"	2	22
"441"	"show"	4	181
"443"	"shrug"	1	0
"444"	"shut"	0	9
"445"	"sign"	0	20
"446"	"sing"	4	49
"447"	"sit"	22	130
"449"	"slam"	2	1
"450"	"sleep"	14	59
"452"	"slow"	1	5
"454"	"smell"	0	19
"455"	"smile"	11	21
"457"	"smoke"	1	5
"458"	"sniff"	0	2
"460"	"snow"	5	1
"463"	"sort"	0	6
"464"	"sound"	1	177
"465"	"speak"	7	189
"466"	"spell"	0	26
"467"	"spend"	3	138
"469"	"split"	2	6
"471"	"sponsor"	1	0
"472"	"spot"	0	4
"474"	"spread"	1	12
"475"	"spring"	1	0
"477"	"squander"	1	0
"478"	"stand"	20	67
"479"	"stare"	3	1
"480"	"start"	14	379
"481"	"starve"	3	1
"482"	"stay"	25	161
"483"	"steal"	2	21
"484"	"stick"	0	9
"485"	"stop"	3	193
"486"	"stress"	1	4
"487"	"stretch"	0	3
"488"	"strip"	0	1
"489"	"stroll"	1	1
"490"	"struggle"	1	8
"491"	"study"	18	56
"492"	"suffer"	4	6
"493"	"suggest"	1	13
"495"	"support"	1	13
"496"	"surf"	4	15
"498"	"swim"	9	45
"500"	"take"	37	571
"501"	"talk"	88	205
"502"	"taste"	0	19
"504"	"teach"	6	49
"505"	"tear"	1	1
"506"	"tell"	19	572
"507"	"test"	2	10
"508"	"text"	1	16
"509"	"think"	27	1558
"510"	"threaten"	0	3
"511"	"throw"	2	52
"512"	"tick"	0	1
"513"	"tidy"	1	27
"515"	"tip"	1	0
"516"	"top"	1	5
"517"	"touch"	0	22
"518"	"train"	5	18
"520"	"travel"	11	62
"522"	"treat"	1	13
"524"	"try"	55	253
"525"	"turn"	3	147
"527"	"twist"	0	7
"529"	"type"	0	2
"530"	"understand"	0	126
"532"	"update"	2	4
"533"	"upload"	0	4
"534"	"upset"	1	0
"535"	"urge"	1	1
"536"	"use"	21	392
"537"	"vibrate"	1	0
"538"	"visit"	10	117
"540"	"voice"	0	2
"541"	"volunteer"	3	15
"543"	"wait"	50	188
"544"	"wake"	0	31
"545"	"walk"	27	151
"546"	"want"	2	1176
"547"	"wash"	2	22
"548"	"waste"	3	17
"549"	"watch"	31	225
"550"	"water"	0	3
"551"	"wear"	71	99
"552"	"wheel"	0	1
"554"	"whisper"	1	1
"556"	"win"	1	98
"558"	"wipe"	1	2
"559"	"wish"	1	47
"560"	"wonder"	7	31
"561"	"work"	50	279
"562"	"worry"	0	142
"563"	"write"	18	164
