Corpus,Book,Level,PV,C1,C2,C3
TxB_narrative,Access,C,up (=invent),,made,
TxB_narrative,Achievers,D,out (=discern),,make,
TxB_narrative,English in Mind,D,up (=invent),,made,
TxB_narrative,Green Line,E,up (=invent),,making,
TxB_narrative,Green Line,E,up (=invent),,made,
TxB_narrative,Hi there,D,up (=comprise),,make,
TxB_narrative,Join the Team,D,out (=discern),,make,
TxB_narrative,Join the Team,D,up (=compensate),,make,
TxB_narrative,New Green Line,E,out (=discern),,make,
TxB_narrative,New Green Line,E,up (=comprise),,made,
TxB_narrative,Solutions,D,out (=discern),,make,
TxB_narrative,New Green Line,E,up (=comprise),,made,
TxB_narrative,Solutions,D,up (=comprise),,make,
TxB_spoken,Access,C,of (=capable),,made,
TxB_spoken,Access,C,up (=comprise),,made,
TxB_spoken,Achievers,D,up (=comprise),,made,
TxB_spoken,Green Line,B,with (=make do with),,make,
TxB_spoken,Hi there,D,up (=comprise),,make,
TxB_spoken,Join the Team,E,up (=prepare),,make,
TxB_spoken,New Green Line,B,up (=invent),,making,
TxB_spoken,Solutions,D,up (=invent),,made,
BNCSpoken,filename#13,,out to be (=pretend),,making,
BNCSpoken,filename#1064,,up (=invent),,made,
BNCSpoken,filename#403,,up (=invent),,made,
BNCSpoken,filename#1073,,up (=invent),,making,
BNCSpoken,filename#1153,,up (=invent),,made,
BNCSpoken,filename#965,,up (=invent),,made,
BNCSpoken,filename#713,,up (=invent),,made,
BNCSpoken,filename#170,,up (=reconcile),,make,
BNCSpoken,filename#69,,out (=discern),,make,
BNCSpoken,filename#218,,out (=pet),,making,
BNCSpoken,filename#841,,up (=invent),,made,
BNCSpoken,filename#79,,up (=invent),,made,
BNCSpoken,filename#1185,,up (=invent),,make,
BNCSpoken,filename#521,,up (=invent),,making,
BNCSpoken,filename#1027,,up (=invent),,making,
BNCSpoken,filename#925,,up (=comprise),,make,
BNCSpoken,filename#508,,up (=prepare),,make,
BNCSpoken,filename#70,,up (=invent),,made,
BNCSpoken,filename#1065,,up (=face paint),,made,
BNCSpoken,filename#48,,up (=invent),,made,
BNCSpoken,filename#740,,up (=compensate),,make,
BNCSpoken,filename#213,,up (=invent),,made,
BNCSpoken,filename#660,,up (=invent),,make,
BNCSpoken,filename#777,,up (=invent),,make,
BNCSpoken,filename#41,,up (=invent),,make,
BNCSpoken,filename#1055,,up (=reconcile),,made,
Youth_Fiction,file_290,,up (=invent),,make,
Youth_Fiction,file_268,,up (=invent),,made,
Youth_Fiction,file_165,,it up to sb.,,make,
Youth_Fiction,file_192,,of sth. (=interpret),,make,
Youth_Fiction,file_122,,of (=capable),,made,
Youth_Fiction,file_100,,of sth. (=interpret),,make,
Youth_Fiction,file_163,,of (=capable),,made,
Youth_Fiction,file_209,,out (=discern),,made,
Youth_Fiction,file_42,,out (=discern),,make,
Youth_Fiction,file_65,,out (=discern),,make,
Youth_Fiction,file_296,,out (=discern),,made,
Youth_Fiction,file_273,,out (=present as),,make,
Youth_Fiction,file_76,,out (=discern),,make,
Youth_Fiction,file_214,,out (=discern),,make,
Youth_Fiction,file_152,,out (=discern),,make,
Youth_Fiction,file_218,,out (=discern),,make,
Youth_Fiction,file_43,,out (=discern),,make,
Youth_Fiction,file_285,,out (=discern),,make,
Youth_Fiction,file_227,,up (=prepare),,made,
Youth_Fiction,file_277,,up (=face paint),,made,
Youth_Fiction,file_286,,up (=invent),,make,
Youth_Fiction,file_261,,up (=compensate),,make,
Youth_Fiction,file_131,,up (=comprise),,made,
Youth_Fiction,file_148,,up (=face paint),,made,
Youth_Fiction,file_194,,up (=invent),,make,
Youth_Fiction,file_99,,up (=invent),,made,
Youth_Fiction,file_287,,up (=prepare),,made,
Youth_Fiction,file_165,,up (=reconcile),,making,
Youth_Fiction,file_112,,up (=invent),,made,
