"Semantics"	"BNCspoken"	"TxBspoken"	"TxBnar"	"Youth_Fiction"	"BNCspokenPer"	"TxBspokenPer"	"Youth_FictionPer"	"TxBnarPer"
"Arts & Crafts"	16	10	4	6	8.88888888888889	5.18134715025907	6.97674418604651	4.3010752688172
"Buildings & House"	7	7	3	14	3.88888888888889	3.62694300518135	16.2790697674419	3.2258064516129
"Clothing & Accessories"	5	17	3	7	2.77777777777778	8.80829015544041	8.13953488372093	3.2258064516129
"Drink"	16	5	7	8	8.88888888888889	2.59067357512953	9.30232558139535	7.52688172043011
"Food"	73	58	20	9	40.5555555555556	30.0518134715026	10.4651162790698	21.505376344086
"General & abstract terms"	6	9	10	4	3.33333333333333	4.66321243523316	4.65116279069767	10.752688172043
"Industry & Technology"	10	7	2	1	5.55555555555556	3.62694300518135	1.16279069767442	2.1505376344086
"Language & Communication"	5	6	10	5	2.77777777777778	3.10880829015544	5.81395348837209	10.752688172043
"Materials & Equipment"	20	19	12	13	11.1111111111111	9.84455958549223	15.1162790697674	12.9032258064516
"Sports, Entertainment & Travel"	13	41	14	6	7.22222222222222	21.2435233160622	6.97674418604651	15.0537634408602
"World, Life & Body"	9	14	8	13	5	7.25388601036269	15.1162790697674	8.60215053763441
