Filename,Filename,Filename,Dimension
Level,Level,Level,
AMP,Amplifiers,Amplifiers,1
ANDC,Independent clause coordination,Ind_clause_coord,1
AWL,Average word length,AWL,-1
CAUS,Causative adverbial subordinators,because,1
CONC,Coordinating conjunctions,Coord_conj,
COND,Conditional adverbial subordinators,if_unless,3
CONJ,Concessive adverbial subordinators,although_though,
DEMO,Demonstratives,Demonstratives,
DEMP,Demonstrative pronouns,Dem_pronouns,1
DPAR,Discourse particle,Discourse_particles,1
DWNT,Downtoners,Downtoners,
EMPH,Emphatics,Emphatics,1
EX,Existential there,Existential_there,
FPP1,First person pronouns,FPP1,1
GER,Gerunds,Gerunds,
HDG,Hedges,Hedges,
INPR,Indefinite pronouns,Ind_pronouns,1
JJ,Attributive adjectives,Attr_Adj,-1
NEMD,Necessity modals,Necessity_modals,
NN,Total nouns (not gerunds or norminalisation),Nouns,-1
NOMZ,Nominalizations,Nominalizations,3
OSUB,Other adverbial subordinator,Adv_sub,
PHC,Phrasal coordination,Phrasal_coord,3
PIN,Total prepositional phrases,Prepositions,-1
PIT,Pronoun IT,it,1
PLACE,Place adverbials,Place_adv,-3
POMD,Possibility modals,Poss_modals,1
PRED,Predicative adjectives,Pred_adj,
PRMD,Predictive modals,Pred_modals,
RB,Total adverbs,Adverbs,-3
SPP2,Second person pronouns,SPP2,1
SYNE,Synthetic negation,Syn_negation,
THAC,That adjective complements,That_adj_comp,
THVC,That verb complements,That_verb_comp,
TIME,Time adverbials,Time_adv,-3
TO,Infinitives (TO),To_infinitives,
TOBJ,That relative clauses on object position,That_rel_clause_obj,
TPP3,Third person pronouns,TPP3,
TSUB,That relative clauses on subject position,That_rel_clause_subj,
TTR,Type Toke Ratio,TTR,1
VBD,Past tense,Past_tense,
VPRT,Present tense,Present_tense,1
XX0,Analytic negation,Analytic_negation,1
[BEMA],Be as main verb,BE_main_verb,1
[BYPA],By-passives,By_passives,
[CONT],Contractions,Contractions,1
[PASS],Agentless passives,Agentless_passives,
[PASTP],Past participial clauses,Past_participial_clauses,
[PEAS],Perfect aspect,Perfect_aspect,
[PIRE],Pied-piping relative clauses,Pied_piping_relative_clauses,3
[PRESP],Present participial clauses,Present_part_clauses,
[PRIV],Private verbs,Private_verbs,1
[PROD],Pro-verb do,Pro_verb_DO,1
[PUBV],Public verbs,Public_verbs,
[SERE],Sentence relatives,Sentence_relatives,
[SMP],seem_appear,seem_appear,
[SPAU],Split auxiliaries,Split_auxiliaries,
[SPIN],Split infinitives,Split_infinitives,
[STPR],Stranded preposition,Stranded_prepositions,1
[SUAV],Suasive verbs,Suasive_verbs,
[THATD],Subordinator that deletion,That_deletion,1
[WHCL],WH-clauses,WH_clauses,
[WHOBJ],WH relative clauses on object position,WH_rel_clauses_obj,3
[WHQU],Direct WH-questions,Direct_WH_questions,
[WHSUB],WH relative clauses on subject position,WH_rel_clauses_subj,3
[WZPAST],Past participial WHIZ deletion relatives,Past_part_WHIZ_del_rel,
[WZPRES],Present participial WHIZ deletion relatives,Present_part_WHIZ_del_rel,
Underused,Underused,Underused,
Overused,Overused,Overused,
